Signature	Cell type	Annotation	Pvalue	FDR
Disease-state	Fr. I nTreg	Renin secretion	0.037	0.23
Disease-state	Fr. I nTreg	Pathways in cancer	0.038	0.23
Disease-state	Fr. I nTreg	Pancreatic cancer	0.045	0.27
Disease-state	Fr. I nTreg	AGE-RAGE signaling pathway in diabetic complications	0.047	0.28
Disease-state	Fr. II eTreg	Measles	3.6e-09	1.1e-06
Disease-state	Fr. II eTreg	Influenza A	2e-08	3.1e-06
Disease-state	Fr. II eTreg	Hepatitis C	7.3e-06	0.00073
Disease-state	Fr. II eTreg	JAK-STAT signaling pathway	1.2e-05	0.00092
Disease-state	Fr. II eTreg	NOD-like receptor signaling pathway	4.4e-05	0.0026
Disease-state	Fr. II eTreg	Lipid and atherosclerosis	0.00013	0.0067
Disease-state	Fr. II eTreg	NF-kappa B signaling pathway	0.00018	0.0077
Disease-state	Fr. II eTreg	HIF-1 signaling pathway	0.00024	0.0091
Disease-state	Fr. II eTreg	Cytokine-cytokine receptor interaction	0.00028	0.0094
Disease-state	Fr. II eTreg	Epstein-Barr virus infection	0.00039	0.012
Disease-state	Fr. II eTreg	Necroptosis	0.00058	0.016
Disease-state	Fr. II eTreg	p53 signaling pathway	0.0011	0.027
Disease-state	Fr. II eTreg	Protein processing in endoplasmic reticulum	0.0015	0.035
Disease-state	Fr. II eTreg	Viral protein interaction with cytokine and cytokine receptor	0.0023	0.051
Disease-state	Fr. II eTreg	Toll-like receptor signaling pathway	0.0029	0.059
Disease-state	Fr. II eTreg	TNF signaling pathway	0.0033	0.063
Disease-state	Fr. II eTreg	Apoptosis - multiple species	0.0037	0.067
Disease-state	Fr. II eTreg	Transcriptional misregulation in cancer	0.0062	0.1
Disease-state	Fr. II eTreg	Pathways in cancer	0.0065	0.1
Disease-state	Fr. II eTreg	Apoptosis	0.0084	0.12
Disease-state	Fr. II eTreg	Toxoplasmosis	0.0085	0.12
Disease-state	Fr. II eTreg	Cytosolic DNA-sensing pathway	0.0093	0.12
Disease-state	Fr. II eTreg	Salmonella infection	0.0094	0.12
Disease-state	Fr. II eTreg	Kaposi sarcoma-associated herpesvirus infection	0.012	0.15
Disease-state	Fr. II eTreg	IL-17 signaling pathway	0.015	0.18
Disease-state	Fr. II eTreg	Hepatitis B	0.016	0.18
Disease-state	Fr. II eTreg	RIG-I-like receptor signaling pathway	0.017	0.19
Disease-state	Fr. II eTreg	Type II diabetes mellitus	0.017	0.19
Disease-state	Fr. II eTreg	Small cell lung cancer	0.023	0.24
Disease-state	Fr. II eTreg	cAMP signaling pathway	0.024	0.24
Disease-state	Fr. II eTreg	Human cytomegalovirus infection	0.024	0.24
Disease-state	Fr. II eTreg	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.025	0.24
Disease-state	Fr. II eTreg	Coronavirus disease - COVID-19	0.026	0.24
Disease-state	Fr. II eTreg	Insulin resistance	0.027	0.24
Disease-state	Fr. II eTreg	Viral carcinogenesis	0.037	0.32
Disease-state	Fr. II eTreg	MAPK signaling pathway	0.04	0.34
Disease-state	Fr. III T	Coronavirus disease - COVID-19	8.4e-09	2.7e-06
Disease-state	Fr. III T	Influenza A	4e-06	0.00065
Disease-state	Fr. III T	Measles	2.7e-05	0.0029
Disease-state	Fr. III T	JAK-STAT signaling pathway	3.6e-05	0.0029
Disease-state	Fr. III T	Hepatitis C	6.4e-05	0.0041
Disease-state	Fr. III T	Ribosome	0.00027	0.015
Disease-state	Fr. III T	HIF-1 signaling pathway	0.00037	0.017
Disease-state	Fr. III T	Necroptosis	0.0019	0.075
Disease-state	Fr. III T	Pathways in cancer	0.0025	0.087
Disease-state	Fr. III T	IL-17 signaling pathway	0.0027	0.087
Disease-state	Fr. III T	RIG-I-like receptor signaling pathway	0.0032	0.093
Disease-state	Fr. III T	Epstein-Barr virus infection	0.0062	0.16
Disease-state	Fr. III T	Mucin type O-glycan biosynthesis	0.0089	0.19
Disease-state	Fr. III T	FoxO signaling pathway	0.0092	0.19
Disease-state	Fr. III T	Notch signaling pathway	0.0092	0.19
Disease-state	Fr. III T	Protein processing in endoplasmic reticulum	0.0095	0.19
Disease-state	Fr. III T	Hepatitis B	0.013	0.25
Disease-state	Fr. III T	mTOR signaling pathway	0.015	0.27
Disease-state	Fr. III T	NOD-like receptor signaling pathway	0.017	0.27
Disease-state	Fr. III T	NF-kappa B signaling pathway	0.018	0.27
Disease-state	Fr. III T	Legionellosis	0.018	0.27
Disease-state	Fr. III T	Prostate cancer	0.018	0.27
Disease-state	Fr. III T	Glycosaminoglycan biosynthesis - keratan sulfate	0.019	0.27
Disease-state	Fr. III T	Acute myeloid leukemia	0.026	0.32
Disease-state	Fr. III T	TNF signaling pathway	0.026	0.32
Disease-state	Fr. III T	Glycosphingolipid biosynthesis - lacto and neolacto series	0.027	0.32
Disease-state	Fr. III T	Insulin signaling pathway	0.027	0.32
Disease-state	Fr. III T	TGF-beta signaling pathway	0.031	0.35
Disease-state	Fr. III T	Estrogen signaling pathway	0.032	0.35
Disease-state	Fr. III T	Lipid and atherosclerosis	0.033	0.35
Disease-state	Fr. III T	Kaposi sarcoma-associated herpesvirus infection	0.035	0.36
Disease-state	Fr. III T	Growth hormone synthesis, secretion and action	0.037	0.36
Disease-state	Fr. III T	Glycolysis / Gluconeogenesis	0.037	0.36
Disease-state	Fr. III T	Signaling pathways regulating pluripotency of stem cells	0.043	0.4
Disease-state	Fr. III T	Toxoplasmosis	0.049	0.45
Disease-state	Naive CD8	Proteasome	6.6e-10	2.1e-07
Disease-state	Naive CD8	Influenza A	1.1e-08	1.8e-06
Disease-state	Naive CD8	Measles	6.1e-07	6.5e-05
Disease-state	Naive CD8	Epstein-Barr virus infection	1.5e-06	0.00012
Disease-state	Naive CD8	Human immunodeficiency virus 1 infection	3.8e-06	0.00023
Disease-state	Naive CD8	Hepatitis C	4.2e-06	0.00023
Disease-state	Naive CD8	Shigellosis	2.3e-05	0.0011
Disease-state	Naive CD8	Necroptosis	9.3e-05	0.0037
Disease-state	Naive CD8	Parkinson disease	0.00012	0.0043
Disease-state	Naive CD8	NOD-like receptor signaling pathway	0.00013	0.0043
Disease-state	Naive CD8	Antigen processing and presentation	0.0002	0.0059
Disease-state	Naive CD8	Inflammatory bowel disease	0.00053	0.014
Disease-state	Naive CD8	RIG-I-like receptor signaling pathway	0.00066	0.016
Disease-state	Naive CD8	Hepatitis B	0.00072	0.016
Disease-state	Naive CD8	JAK-STAT signaling pathway	0.00086	0.018
Disease-state	Naive CD8	Herpes simplex virus 1 infection	0.00089	0.018
Disease-state	Naive CD8	Amyotrophic lateral sclerosis	0.0017	0.031
Disease-state	Naive CD8	Pathways of neurodegeneration - multiple diseases	0.0018	0.031
Disease-state	Naive CD8	Spinocerebellar ataxia	0.0019	0.032
Disease-state	Naive CD8	Toxoplasmosis	0.0021	0.033
Disease-state	Naive CD8	Insulin signaling pathway	0.0023	0.035
Disease-state	Naive CD8	Insulin resistance	0.0038	0.055
Disease-state	Naive CD8	Citrate cycle (TCA cycle)	0.0045	0.063
Disease-state	Naive CD8	Prolactin signaling pathway	0.0051	0.068
Disease-state	Naive CD8	Regulation of actin cytoskeleton	0.0076	0.098
Disease-state	Naive CD8	Human cytomegalovirus infection	0.0079	0.098
Disease-state	Naive CD8	Salmonella infection	0.0083	0.098
Disease-state	Naive CD8	Growth hormone synthesis, secretion and action	0.0089	0.099
Disease-state	Naive CD8	Apoptosis - multiple species	0.0089	0.099
Disease-state	Naive CD8	Neurotrophin signaling pathway	0.0093	0.099
Disease-state	Naive CD8	Yersinia infection	0.011	0.11
Disease-state	Naive CD8	Alzheimer disease	0.011	0.11
Disease-state	Naive CD8	TNF signaling pathway	0.012	0.12
Disease-state	Naive CD8	Apoptosis	0.014	0.13
Disease-state	Naive CD8	Central carbon metabolism in cancer	0.014	0.13
Disease-state	Naive CD8	Tuberculosis	0.015	0.13
Disease-state	Naive CD8	Protein processing in endoplasmic reticulum	0.016	0.14
Disease-state	Naive CD8	Bacterial invasion of epithelial cells	0.018	0.15
Disease-state	Naive CD8	Acute myeloid leukemia	0.018	0.15
Disease-state	Naive CD8	Leukocyte transendothelial migration	0.019	0.15
Disease-state	Naive CD8	Huntington disease	0.02	0.16
Disease-state	Naive CD8	Prion disease	0.021	0.16
Disease-state	Naive CD8	Sphingolipid signaling pathway	0.022	0.16
Disease-state	Naive CD8	Cytosolic DNA-sensing pathway	0.023	0.16
Disease-state	Naive CD8	Lipid and atherosclerosis	0.023	0.16
Disease-state	Naive CD8	Adipocytokine signaling pathway	0.024	0.16
Disease-state	Naive CD8	Th17 cell differentiation	0.026	0.18
Disease-state	Naive CD8	C-type lectin receptor signaling pathway	0.03	0.19
Disease-state	Naive CD8	Th1 and Th2 cell differentiation	0.03	0.19
Disease-state	Naive CD8	Chronic myeloid leukemia	0.03	0.19
Disease-state	Naive CD8	Cellular senescence	0.038	0.24
Disease-state	Naive CD8	FoxO signaling pathway	0.041	0.25
Disease-state	Naive CD8	NF-kappa B signaling pathway	0.044	0.27
Disease-state	CM CD8	Influenza A	1.6e-07	4.5e-05
Disease-state	CM CD8	Hepatitis C	6.7e-07	6.5e-05
Disease-state	CM CD8	Measles	6.7e-07	6.5e-05
Disease-state	CM CD8	Proteasome	1.5e-05	0.0011
Disease-state	CM CD8	JAK-STAT signaling pathway	7e-05	0.0041
Disease-state	CM CD8	Epstein-Barr virus infection	0.00019	0.0091
Disease-state	CM CD8	Toxoplasmosis	0.00043	0.018
Disease-state	CM CD8	NOD-like receptor signaling pathway	0.0014	0.05
Disease-state	CM CD8	Necroptosis	0.0019	0.057
Disease-state	CM CD8	HIF-1 signaling pathway	0.002	0.057
Disease-state	CM CD8	Glycolysis / Gluconeogenesis	0.0024	0.062
Disease-state	CM CD8	Prolactin signaling pathway	0.0025	0.062
Disease-state	CM CD8	Antigen processing and presentation	0.0029	0.066
Disease-state	CM CD8	Parkinson disease	0.0049	0.1
Disease-state	CM CD8	Fructose and mannose metabolism	0.0063	0.12
Disease-state	CM CD8	Type II diabetes mellitus	0.0063	0.12
Disease-state	CM CD8	Chronic myeloid leukemia	0.0078	0.13
Disease-state	CM CD8	Cytokine-cytokine receptor interaction	0.0086	0.13
Disease-state	CM CD8	Central carbon metabolism in cancer	0.0091	0.13
Disease-state	CM CD8	Viral carcinogenesis	0.0092	0.13
Disease-state	CM CD8	Lipid and atherosclerosis	0.0092	0.13
Disease-state	CM CD8	Kaposi sarcoma-associated herpesvirus infection	0.011	0.14
Disease-state	CM CD8	Thyroid cancer	0.011	0.14
Disease-state	CM CD8	TGF-beta signaling pathway	0.012	0.14
Disease-state	CM CD8	PI3K-Akt signaling pathway	0.015	0.18
Disease-state	CM CD8	Pancreatic cancer	0.016	0.18
Disease-state	CM CD8	Human cytomegalovirus infection	0.018	0.2
Disease-state	CM CD8	Toll-like receptor signaling pathway	0.021	0.22
Disease-state	CM CD8	Legionellosis	0.022	0.23
Disease-state	CM CD8	Protein processing in endoplasmic reticulum	0.024	0.23
Disease-state	CM CD8	Pathways in cancer	0.025	0.23
Disease-state	CM CD8	Herpes simplex virus 1 infection	0.025	0.23
Disease-state	CM CD8	Human immunodeficiency virus 1 infection	0.027	0.23
Disease-state	CM CD8	Biosynthesis of amino acids	0.028	0.23
Disease-state	CM CD8	Th17 cell differentiation	0.028	0.23
Disease-state	CM CD8	Chemical carcinogenesis - receptor activation	0.028	0.23
Disease-state	CM CD8	Human T-cell leukemia virus 1 infection	0.029	0.23
Disease-state	CM CD8	Parathyroid hormone synthesis, secretion and action	0.034	0.26
Disease-state	CM CD8	Coronavirus disease - COVID-19	0.035	0.26
Disease-state	CM CD8	Hepatitis B	0.035	0.26
Disease-state	CM CD8	Shigellosis	0.038	0.27
Disease-state	CM CD8	Cell cycle	0.039	0.27
Disease-state	CM CD8	Acute myeloid leukemia	0.041	0.28
Disease-state	CM CD8	Bladder cancer	0.042	0.28
Disease-state	CM CD8	NF-kappa B signaling pathway	0.043	0.28
Disease-state	CM CD8	Biosynthesis of nucleotide sugars	0.047	0.3
Disease-state	EM CD8	Parkinson disease	1.6e-18	5e-16
Disease-state	EM CD8	Proteasome	2.2e-16	3.5e-14
Disease-state	EM CD8	Pathways of neurodegeneration - multiple diseases	3.6e-14	3.9e-12
Disease-state	EM CD8	Alzheimer disease	1.2e-13	9.9e-12
Disease-state	EM CD8	Prion disease	1.5e-13	9.9e-12
Disease-state	EM CD8	Oxidative phosphorylation	1.7e-10	8.9e-09
Disease-state	EM CD8	Amyotrophic lateral sclerosis	1.9e-10	8.9e-09
Disease-state	EM CD8	Epstein-Barr virus infection	2.5e-10	9.9e-09
Disease-state	EM CD8	Huntington disease	2.8e-10	9.9e-09
Disease-state	EM CD8	Chemical carcinogenesis - reactive oxygen species	1.2e-08	3.8e-07
Disease-state	EM CD8	Influenza A	4e-08	1.2e-06
Disease-state	EM CD8	Diabetic cardiomyopathy	5.7e-08	1.5e-06
Disease-state	EM CD8	Thermogenesis	2.4e-07	6e-06
Disease-state	EM CD8	Spinocerebellar ataxia	3e-07	6.4e-06
Disease-state	EM CD8	Non-alcoholic fatty liver disease	3e-07	6.4e-06
Disease-state	EM CD8	Rap1 signaling pathway	3.4e-06	6.8e-05
Disease-state	EM CD8	Salmonella infection	8.2e-06	0.00015
Disease-state	EM CD8	Th17 cell differentiation	9.8e-06	0.00018
Disease-state	EM CD8	Measles	6e-05	0.001
Disease-state	EM CD8	Cardiac muscle contraction	8.6e-05	0.0014
Disease-state	EM CD8	Neurotrophin signaling pathway	9.7e-05	0.0015
Disease-state	EM CD8	Th1 and Th2 cell differentiation	0.00011	0.0016
Disease-state	EM CD8	Antigen processing and presentation	0.00013	0.0018
Disease-state	EM CD8	Regulation of actin cytoskeleton	0.00025	0.0034
Disease-state	EM CD8	Glioma	0.00029	0.0038
Disease-state	EM CD8	NOD-like receptor signaling pathway	0.00031	0.0038
Disease-state	EM CD8	Inflammatory bowel disease	0.00032	0.0038
Disease-state	EM CD8	Long-term potentiation	0.00042	0.0048
Disease-state	EM CD8	Necroptosis	0.00044	0.0048
Disease-state	EM CD8	Shigellosis	0.00044	0.0048
Disease-state	EM CD8	Human immunodeficiency virus 1 infection	0.00068	0.0069
Disease-state	EM CD8	Amphetamine addiction	0.00068	0.0069
Disease-state	EM CD8	Leukocyte transendothelial migration	0.00075	0.0073
Disease-state	EM CD8	Toxoplasmosis	0.00088	0.0083
Disease-state	EM CD8	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.00096	0.0088
Disease-state	EM CD8	Herpes simplex virus 1 infection	0.001	0.0091
Disease-state	EM CD8	Viral myocarditis	0.0011	0.0092
Disease-state	EM CD8	Natural killer cell mediated cytotoxicity	0.0016	0.013
Disease-state	EM CD8	Chemokine signaling pathway	0.0019	0.015
Disease-state	EM CD8	Steroid biosynthesis	0.0026	0.021
Disease-state	EM CD8	Pathogenic Escherichia coli infection	0.003	0.024
Disease-state	EM CD8	Pancreatic secretion	0.0031	0.024
Disease-state	EM CD8	JAK-STAT signaling pathway	0.0032	0.024
Disease-state	EM CD8	Human cytomegalovirus infection	0.0036	0.027
Disease-state	EM CD8	cAMP signaling pathway	0.0044	0.031
Disease-state	EM CD8	Apoptosis	0.0045	0.031
Disease-state	EM CD8	Pathways in cancer	0.0046	0.031
Disease-state	EM CD8	Oxytocin signaling pathway	0.0046	0.031
Disease-state	EM CD8	Bacterial invasion of epithelial cells	0.0058	0.038
Disease-state	EM CD8	GABAergic synapse	0.0077	0.049
Disease-state	EM CD8	Hepatitis C	0.0079	0.05
Disease-state	EM CD8	T cell receptor signaling pathway	0.0092	0.057
Disease-state	EM CD8	Central carbon metabolism in cancer	0.0094	0.057
Disease-state	EM CD8	Tuberculosis	0.0097	0.058
Disease-state	EM CD8	Rheumatoid arthritis	0.01	0.059
Disease-state	EM CD8	Retrograde endocannabinoid signaling	0.01	0.06
Disease-state	EM CD8	Lipid and atherosclerosis	0.011	0.062
Disease-state	EM CD8	Fc gamma R-mediated phagocytosis	0.012	0.064
Disease-state	EM CD8	Gastric acid secretion	0.013	0.069
Disease-state	EM CD8	Human T-cell leukemia virus 1 infection	0.013	0.069
Disease-state	EM CD8	MAPK signaling pathway	0.014	0.069
Disease-state	EM CD8	Tight junction	0.014	0.069
Disease-state	EM CD8	Autoimmune thyroid disease	0.014	0.069
Disease-state	EM CD8	Allograft rejection	0.014	0.069
Disease-state	EM CD8	Graft-versus-host disease	0.014	0.069
Disease-state	EM CD8	Primary immunodeficiency	0.014	0.069
Disease-state	EM CD8	Asthma	0.015	0.074
Disease-state	EM CD8	Proximal tubule bicarbonate reclamation	0.017	0.078
Disease-state	EM CD8	Pancreatic cancer	0.017	0.078
Disease-state	EM CD8	Viral carcinogenesis	0.017	0.08
Disease-state	EM CD8	Yersinia infection	0.018	0.082
Disease-state	EM CD8	Non-small cell lung cancer	0.018	0.082
Disease-state	EM CD8	Leishmaniasis	0.023	0.1
Disease-state	EM CD8	Type I diabetes mellitus	0.024	0.1
Disease-state	EM CD8	Kaposi sarcoma-associated herpesvirus infection	0.027	0.12
Disease-state	EM CD8	Circadian entrainment	0.029	0.12
Disease-state	EM CD8	Adrenergic signaling in cardiomyocytes	0.029	0.12
Disease-state	EM CD8	Aldosterone synthesis and secretion	0.03	0.12
Disease-state	EM CD8	VEGF signaling pathway	0.03	0.12
Disease-state	EM CD8	MicroRNAs in cancer	0.032	0.13
Disease-state	EM CD8	Dopaminergic synapse	0.034	0.13
Disease-state	EM CD8	Melanoma	0.037	0.14
Disease-state	EM CD8	GnRH signaling pathway	0.041	0.16
Disease-state	EM CD8	Inflammatory mediator regulation of TRP channels	0.042	0.16
Disease-state	EM CD8	Bladder cancer	0.043	0.16
Disease-state	EM CD8	Circadian rhythm	0.046	0.17
Disease-state	TEMRA CD8	Measles	4.7e-07	0.00014
Disease-state	TEMRA CD8	Influenza A	3.3e-06	0.00041
Disease-state	TEMRA CD8	NOD-like receptor signaling pathway	4.2e-06	0.00041
Disease-state	TEMRA CD8	Parkinson disease	1.2e-05	0.00089
Disease-state	TEMRA CD8	Epstein-Barr virus infection	1.6e-05	0.00095
Disease-state	TEMRA CD8	Hepatitis C	2.7e-05	0.0013
Disease-state	TEMRA CD8	Necroptosis	3.4e-05	0.0014
Disease-state	TEMRA CD8	JAK-STAT signaling pathway	0.00014	0.0053
Disease-state	TEMRA CD8	Proteasome	0.00059	0.019
Disease-state	TEMRA CD8	Human T-cell leukemia virus 1 infection	0.0015	0.044
Disease-state	TEMRA CD8	RIG-I-like receptor signaling pathway	0.0018	0.045
Disease-state	TEMRA CD8	Prion disease	0.0018	0.045
Disease-state	TEMRA CD8	Pathways of neurodegeneration - multiple diseases	0.0023	0.052
Disease-state	TEMRA CD8	Steroid biosynthesis	0.0032	0.065
Disease-state	TEMRA CD8	Alzheimer disease	0.0035	0.065
Disease-state	TEMRA CD8	Kaposi sarcoma-associated herpesvirus infection	0.0035	0.065
Disease-state	TEMRA CD8	Cardiac muscle contraction	0.004	0.07
Disease-state	TEMRA CD8	Oxidative phosphorylation	0.0045	0.074
Disease-state	TEMRA CD8	Pancreatic cancer	0.0051	0.077
Disease-state	TEMRA CD8	Human cytomegalovirus infection	0.0052	0.077
Disease-state	TEMRA CD8	Coronavirus disease - COVID-19	0.0055	0.078
Disease-state	TEMRA CD8	Th17 cell differentiation	0.0062	0.083
Disease-state	TEMRA CD8	EGFR tyrosine kinase inhibitor resistance	0.007	0.086
Disease-state	TEMRA CD8	Chemical carcinogenesis - reactive oxygen species	0.0071	0.086
Disease-state	TEMRA CD8	Huntington disease	0.0073	0.086
Disease-state	TEMRA CD8	Neurotrophin signaling pathway	0.0093	0.11
Disease-state	TEMRA CD8	PPAR signaling pathway	0.01	0.11
Disease-state	TEMRA CD8	Hepatitis B	0.01	0.11
Disease-state	TEMRA CD8	Amyotrophic lateral sclerosis	0.011	0.11
Disease-state	TEMRA CD8	Ovarian steroidogenesis	0.011	0.11
Disease-state	TEMRA CD8	Diabetic cardiomyopathy	0.012	0.11
Disease-state	TEMRA CD8	Cytosolic DNA-sensing pathway	0.015	0.13
Disease-state	TEMRA CD8	Spinocerebellar ataxia	0.019	0.17
Disease-state	TEMRA CD8	Fatty acid metabolism	0.02	0.17
Disease-state	TEMRA CD8	Apoptosis - multiple species	0.021	0.17
Disease-state	TEMRA CD8	Toxoplasmosis	0.021	0.17
Disease-state	TEMRA CD8	AGE-RAGE signaling pathway in diabetic complications	0.025	0.19
Disease-state	TEMRA CD8	Antigen processing and presentation	0.025	0.19
Disease-state	TEMRA CD8	Viral carcinogenesis	0.026	0.19
Disease-state	TEMRA CD8	Glycosaminoglycan biosynthesis - keratan sulfate	0.026	0.19
Disease-state	TEMRA CD8	Endocrine resistance	0.029	0.2
Disease-state	TEMRA CD8	Parathyroid hormone synthesis, secretion and action	0.029	0.2
Disease-state	TEMRA CD8	PI3K-Akt signaling pathway	0.03	0.21
Disease-state	TEMRA CD8	Prolactin signaling pathway	0.032	0.21
Disease-state	TEMRA CD8	Th1 and Th2 cell differentiation	0.033	0.22
Disease-state	TEMRA CD8	Human immunodeficiency virus 1 infection	0.036	0.23
Disease-state	TEMRA CD8	Galactose metabolism	0.036	0.23
Disease-state	TEMRA CD8	Gap junction	0.038	0.23
Disease-state	TEMRA CD8	Bladder cancer	0.039	0.23
Disease-state	TEMRA CD8	Choline metabolism in cancer	0.04	0.24
Disease-state	TEMRA CD8	Thermogenesis	0.043	0.25
Disease-state	TEMRA CD8	Insulin signaling pathway	0.045	0.25
Disease-state	TEMRA CD8	Glycolysis / Gluconeogenesis	0.045	0.25
Disease-state	TEMRA CD8	Signaling pathways regulating pluripotency of stem cells	0.046	0.25
Disease-state	TEMRA CD8	Olfactory transduction	0.048	0.26
Disease-state	TEMRA CD8	Oocyte meiosis	0.049	0.26
Disease-state	TEMRA CD8	Lipid and atherosclerosis	0.05	0.26
Disease-state	NK	Proteasome	2.7e-17	8.9e-15
Disease-state	NK	Parkinson disease	2.4e-15	3.9e-13
Disease-state	NK	Prion disease	6.9e-11	7.5e-09
Disease-state	NK	Oxidative phosphorylation	1.1e-09	8.7e-08
Disease-state	NK	Huntington disease	3.6e-09	2.3e-07
Disease-state	NK	Amyotrophic lateral sclerosis	6e-09	3.1e-07
Disease-state	NK	Diabetic cardiomyopathy	6.7e-09	3.1e-07
Disease-state	NK	Spinocerebellar ataxia	7.6e-09	3.1e-07
Disease-state	NK	Thermogenesis	5.2e-07	1.9e-05
Disease-state	NK	Pathways of neurodegeneration - multiple diseases	6.6e-07	2.1e-05
Disease-state	NK	Alzheimer disease	7.4e-07	2.2e-05
Disease-state	NK	Epstein-Barr virus infection	8.9e-07	2.3e-05
Disease-state	NK	Cell cycle	9.4e-07	2.3e-05
Disease-state	NK	Cellular senescence	1.1e-05	0.00025
Disease-state	NK	Chemical carcinogenesis - reactive oxygen species	3e-05	0.00065
Disease-state	NK	Influenza A	4e-05	0.00082
Disease-state	NK	Th17 cell differentiation	0.00028	0.0054
Disease-state	NK	Antigen processing and presentation	0.00045	0.0081
Disease-state	NK	Non-alcoholic fatty liver disease	0.00068	0.012
Disease-state	NK	Human T-cell leukemia virus 1 infection	0.0013	0.022
Disease-state	NK	Necroptosis	0.0015	0.023
Disease-state	NK	Biosynthesis of amino acids	0.0019	0.027
Disease-state	NK	Inflammatory bowel disease	0.0019	0.027
Disease-state	NK	JAK-STAT signaling pathway	0.003	0.039
Disease-state	NK	Circadian rhythm	0.003	0.039
Disease-state	NK	Metabolic pathways	0.0031	0.039
Disease-state	NK	Platinum drug resistance	0.0034	0.04
Disease-state	NK	Central carbon metabolism in cancer	0.0034	0.04
Disease-state	NK	Hepatitis C	0.0035	0.04
Disease-state	NK	Hepatitis B	0.0064	0.07
Disease-state	NK	p53 signaling pathway	0.007	0.073
Disease-state	NK	Glycolysis / Gluconeogenesis	0.008	0.081
Disease-state	NK	Herpes simplex virus 1 infection	0.0088	0.087
Disease-state	NK	Human immunodeficiency virus 1 infection	0.01	0.096
Disease-state	NK	Th1 and Th2 cell differentiation	0.012	0.11
Disease-state	NK	Longevity regulating pathway	0.016	0.14
Disease-state	NK	Progesterone-mediated oocyte maturation	0.016	0.14
Disease-state	NK	Fatty acid metabolism	0.017	0.15
Disease-state	NK	Cardiac muscle contraction	0.018	0.15
Disease-state	NK	Toxoplasmosis	0.018	0.15
Disease-state	NK	Glioma	0.019	0.15
Disease-state	NK	Apoptosis	0.02	0.15
Disease-state	NK	Pancreatic cancer	0.021	0.15
Disease-state	NK	Choline metabolism in cancer	0.021	0.15
Disease-state	NK	Colorectal cancer	0.023	0.16
Disease-state	NK	Human cytomegalovirus infection	0.025	0.17
Disease-state	NK	Protein processing in endoplasmic reticulum	0.027	0.19
Disease-state	NK	Measles	0.029	0.2
Disease-state	NK	Oocyte meiosis	0.031	0.21
Disease-state	NK	Steroid biosynthesis	0.033	0.21
Disease-state	NK	NOD-like receptor signaling pathway	0.036	0.23
Disease-state	NK	Carbon metabolism	0.038	0.24
Disease-state	NK	Vibrio cholerae infection	0.04	0.24
Disease-state	NK	Viral myocarditis	0.043	0.26
Disease-state	NK	Parathyroid hormone synthesis, secretion and action	0.046	0.26
Disease-state	NK	Asthma	0.046	0.26
Disease-state	NK	Biosynthesis of unsaturated fatty acids	0.046	0.26
Disease-state	NK	Lipid and atherosclerosis	0.05	0.28
Disease-state	Naive B	Parkinson disease	8.3e-16	2.7e-13
Disease-state	Naive B	Oxidative phosphorylation	1.2e-14	2e-12
Disease-state	Naive B	Prion disease	6.7e-13	7.2e-11
Disease-state	Naive B	Huntington disease	8e-12	6.5e-10
Disease-state	Naive B	Chemical carcinogenesis - reactive oxygen species	1.8e-10	1.2e-08
Disease-state	Naive B	Diabetic cardiomyopathy	1.8e-09	9.4e-08
Disease-state	Naive B	Pathways of neurodegeneration - multiple diseases	2e-09	9.4e-08
Disease-state	Naive B	Proteasome	5.9e-09	2.4e-07
Disease-state	Naive B	Alzheimer disease	2e-08	7e-07
Disease-state	Naive B	Amyotrophic lateral sclerosis	6.8e-08	2.2e-06
Disease-state	Naive B	Epstein-Barr virus infection	2.4e-07	6.9e-06
Disease-state	Naive B	Non-alcoholic fatty liver disease	3.4e-06	8.4e-05
Disease-state	Naive B	Influenza A	3.4e-06	8.4e-05
Disease-state	Naive B	Measles	9.6e-06	0.00022
Disease-state	Naive B	Hepatitis C	2.2e-05	0.00048
Disease-state	Naive B	Thermogenesis	4.9e-05	0.00099
Disease-state	Naive B	NOD-like receptor signaling pathway	6.2e-05	0.0012
Disease-state	Naive B	Shigellosis	0.0003	0.0055
Disease-state	Naive B	Glycolysis / Gluconeogenesis	0.00082	0.014
Disease-state	Naive B	Antigen processing and presentation	0.00093	0.015
Disease-state	Naive B	Metabolic pathways	0.001	0.016
Disease-state	Naive B	Spinocerebellar ataxia	0.0012	0.017
Disease-state	Naive B	Kaposi sarcoma-associated herpesvirus infection	0.0015	0.02
Disease-state	Naive B	Herpes simplex virus 1 infection	0.0032	0.043
Disease-state	Naive B	Carbon metabolism	0.0041	0.054
Disease-state	Naive B	Necroptosis	0.0044	0.054
Disease-state	Naive B	Cardiac muscle contraction	0.0053	0.063
Disease-state	Naive B	Salmonella infection	0.0055	0.064
Disease-state	Naive B	Tuberculosis	0.0058	0.065
Disease-state	Naive B	JAK-STAT signaling pathway	0.007	0.076
Disease-state	Naive B	Sphingolipid metabolism	0.008	0.084
Disease-state	Naive B	Hepatitis B	0.01	0.1
Disease-state	Naive B	Protein processing in endoplasmic reticulum	0.011	0.1
Disease-state	Naive B	Cytosolic DNA-sensing pathway	0.012	0.11
Disease-state	Naive B	Mucin type O-glycan biosynthesis	0.013	0.12
