Cell type	PC	Clinical parameter	Effect size	Standard error	Pvalue	FDR
Th17	PC4	HDAvsInactive	0.15	0.29	0.61	0.95
Th17	PC4	constitutional	0.057	0.31	0.85	0.99
Th17	PC4	mucocutaneous	-0.18	0.23	0.44	0.9
Th17	PC4	musculoskeletal	0.35	0.24	0.16	0.74
Th17	PC4	renal	-0.29	0.23	0.2	0.79
Th17	PC4	extrarenal	-0.18	0.32	0.58	0.94
Th17	PC4	hematological	0.68	0.29	0.022	0.42
Th17	PC4	serological	0.25	0.2	0.21	0.79
Th17	PC4	HCQ	0.45	0.2	0.03	0.46
Th17	PC4	MMF	0.25	0.23	0.28	0.83
Th17	PC4	TAC	0.012	0.24	0.96	  1
Th17	PC5	InactivevsHC	0.2	0.21	0.34	0.86
Th17	PC5	LDAvsInactive	-0.02	0.26	0.94	  1
Th17	PC5	MDAvsInactive	-0.045	0.29	0.88	0.99
Th17	PC5	HDAvsInactive	-0.11	0.26	0.66	0.96
Th17	PC5	constitutional	-0.2	0.32	0.53	0.93
Th17	PC5	mucocutaneous	0.47	0.23	0.048	0.54
Th17	PC5	musculoskeletal	0.24	0.25	0.33	0.86
Th17	PC5	renal	0.00078	0.23	  1	  1
Th17	PC5	extrarenal	0.015	0.33	0.97	  1
Th17	PC5	hematological	-0.23	0.3	0.45	0.91
Th17	PC5	serological	-0.095	0.2	0.64	0.95
Th17	PC5	HCQ	-0.017	0.21	0.93	  1
Th17	PC5	MMF	0.21	0.24	0.36	0.88
Th17	PC5	TAC	0.25	0.24	0.3	0.84
Th17	PC6	InactivevsHC	0.18	0.21	0.39	0.89
Th17	PC6	LDAvsInactive	-0.13	0.28	0.64	0.95
Th17	PC6	MDAvsInactive	0.028	0.33	0.93	  1
Th17	PC6	HDAvsInactive	-0.14	0.34	0.68	0.96
Th17	PC6	constitutional	-0.0018	0.33	  1	  1
Th17	PC6	mucocutaneous	0.041	0.25	0.87	0.99
Th17	PC6	musculoskeletal	0.17	0.26	0.53	0.93
Th17	PC6	renal	-0.44	0.24	0.076	0.6
Th17	PC6	extrarenal	-0.13	0.35	0.72	0.97
Th17	PC6	hematological	0.25	0.32	0.44	0.9
Th17	PC6	serological	-0.0081	0.21	0.97	  1
Th17	PC6	HCQ	-0.027	0.22	0.9	0.99
Th17	PC6	MMF	0.15	0.25	0.56	0.94
Th17	PC6	TAC	-0.37	0.25	0.15	0.73
Th17	PC7	InactivevsHC	-0.65	0.15	2.1e-05	0.0045
Th17	PC7	LDAvsInactive	0.005	0.27	0.99	  1
Th17	PC7	MDAvsInactive	0.88	0.24	0.00064	0.063
Th17	PC7	HDAvsInactive	1.3	0.26	9.1e-06	0.0023
Th17	PC7	constitutional	0.39	0.32	0.22	0.8
Th17	PC7	mucocutaneous	0.038	0.23	0.87	0.99
Th17	PC7	musculoskeletal	0.77	0.25	0.0025	0.14
Th17	PC7	renal	0.21	0.23	0.36	0.88
Th17	PC7	extrarenal	0.36	0.33	0.28	0.83
Th17	PC7	hematological	0.71	0.3	0.021	0.41
Th17	PC7	serological	0.079	0.2	0.69	0.96
Th17	PC7	HCQ	-0.081	0.2	0.69	0.96
Th17	PC7	MMF	-0.27	0.23	0.25	0.82
Th17	PC7	TAC	0.016	0.24	0.95	  1
Tfh	PC1	InactivevsHC	0.84	0.16	1.1e-06	0.00039
Tfh	PC1	LDAvsInactive	0.14	0.23	0.53	0.93
Tfh	PC1	MDAvsInactive	0.43	0.23	0.071	0.59
Tfh	PC1	HDAvsInactive	0.74	0.23	0.0026	0.15
Tfh	PC1	constitutional	0.13	0.25	0.6	0.94
Tfh	PC1	mucocutaneous	0.34	0.19	0.073	0.6
Tfh	PC1	musculoskeletal	0.12	0.2	0.55	0.93
Tfh	PC1	renal	0.18	0.18	0.33	0.86
Tfh	PC1	extrarenal	0.12	0.26	0.64	0.95
Tfh	PC1	hematological	-0.13	0.24	0.6	0.94
Tfh	PC1	serological	0.37	0.16	0.021	0.42
Tfh	PC1	HCQ	-0.089	0.16	0.59	0.94
Tfh	PC1	MMF	-0.25	0.18	0.17	0.75
Tfh	PC1	TAC	0.0066	0.19	0.97	  1
Tfh	PC2	InactivevsHC	0.51	0.22	0.022	0.42
Tfh	PC2	LDAvsInactive	0.051	0.28	0.85	0.99
Tfh	PC2	MDAvsInactive	0.41	0.28	0.15	0.73
Tfh	PC2	HDAvsInactive	0.7	0.25	0.0084	0.28
Tfh	PC2	constitutional	0.089	0.29	0.76	0.98
Tfh	PC2	mucocutaneous	0.038	0.21	0.86	0.99
Tfh	PC2	musculoskeletal	0.096	0.23	0.68	0.96
Tfh	PC2	renal	0.43	0.21	0.044	0.53
Tfh	PC2	extrarenal	0.28	0.3	0.36	0.88
Tfh	PC2	hematological	0.057	0.28	0.84	0.99
Tfh	PC2	serological	0.017	0.18	0.93	  1
Tfh	PC2	HCQ	0.064	0.18	0.73	0.97
Tfh	PC2	MMF	-0.19	0.21	0.36	0.88
Tfh	PC2	TAC	0.34	0.21	0.12	0.68
Tfh	PC3	InactivevsHC	0.31	0.21	0.14	0.72
Tfh	PC3	LDAvsInactive	0.41	0.25	0.1	0.65
Tfh	PC3	MDAvsInactive	0.17	0.27	0.52	0.92
Tfh	PC3	HDAvsInactive	0.28	0.23	0.22	0.8
Tfh	PC3	constitutional	0.23	0.28	0.42	0.9
Tfh	PC3	mucocutaneous	0.41	0.21	0.056	0.56
Tfh	PC3	musculoskeletal	-0.18	0.22	0.42	0.9
Tfh	PC3	renal	0.023	0.21	0.91	0.99
Tfh	PC3	extrarenal	-0.044	0.3	0.88	0.99
Tfh	PC3	hematological	-0.27	0.28	0.34	0.86
Tfh	PC3	serological	0.038	0.18	0.83	0.99
Tfh	PC3	HCQ	-0.11	0.18	0.56	0.94
Tfh	PC3	MMF	0.2	0.21	0.32	0.85
Tfh	PC3	TAC	-0.38	0.21	0.074	0.6
Tfh	PC4	InactivevsHC	0.21	0.19	0.27	0.83
Tfh	PC4	LDAvsInactive	0.08	0.31	0.79	0.98
Tfh	PC4	MDAvsInactive	0.33	0.3	0.27	0.83
Tfh	PC4	HDAvsInactive	0.82	0.32	0.013	0.35
Tfh	PC4	constitutional	0.35	0.33	0.28	0.83
Tfh	PC4	mucocutaneous	-0.15	0.24	0.53	0.93
Tfh	PC4	musculoskeletal	0.41	0.26	0.11	0.67
Tfh	PC4	renal	-0.099	0.24	0.68	0.96
Tfh	PC4	extrarenal	0.29	0.34	0.4	0.89
Tfh	PC4	hematological	0.78	0.32	0.015	0.37
Tfh	PC4	serological	0.28	0.21	0.18	0.76
Tfh	PC4	HCQ	0.2	0.22	0.36	0.87
Tfh	PC4	MMF	0.16	0.24	0.51	0.92
Tfh	PC4	TAC	0.085	0.25	0.73	0.97
Tfh	PC5	InactivevsHC	0.44	0.19	0.026	0.44
Tfh	PC5	LDAvsInactive	-0.045	0.26	0.86	0.99
Tfh	PC5	MDAvsInactive	0.076	0.34	0.82	0.99
Tfh	PC5	HDAvsInactive	-0.053	0.3	0.86	0.99
Tfh	PC5	constitutional	-0.67	0.31	0.033	0.47
Tfh	PC5	mucocutaneous	0.72	0.23	0.0023	0.14
Tfh	PC5	musculoskeletal	0.23	0.25	0.35	0.87
Tfh	PC5	renal	-0.084	0.23	0.72	0.97
Tfh	PC5	extrarenal	-0.44	0.33	0.18	0.76
Tfh	PC5	hematological	-0.58	0.3	0.06	0.57
Tfh	PC5	serological	-0.0021	0.2	0.99	  1
Tfh	PC5	HCQ	0.18	0.21	0.4	0.89
Tfh	PC5	MMF	0.32	0.24	0.18	0.77
Tfh	PC5	TAC	0.29	0.24	0.23	0.8
Tfh	PC6	InactivevsHC	  1	0.15	4.1e-10	3.3e-07
Tfh	PC6	LDAvsInactive	-0.014	0.22	0.95	  1
Tfh	PC6	MDAvsInactive	-0.77	0.21	0.00068	0.065
Tfh	PC6	HDAvsInactive	-1.4	0.23	5.3e-08	2.5e-05
Tfh	PC6	constitutional	-0.32	0.25	0.2	0.79
Tfh	PC6	mucocutaneous	-0.3	0.19	0.1	0.66
Tfh	PC6	musculoskeletal	-0.82	0.2	5.9e-05	0.01
Tfh	PC6	renal	-0.83	0.18	1.5e-05	0.0034
Tfh	PC6	extrarenal	-0.16	0.26	0.54	0.93
Tfh	PC6	hematological	0.035	0.24	0.88	0.99
Tfh	PC6	serological	-0.051	0.16	0.75	0.98
Tfh	PC6	HCQ	0.24	0.16	0.14	0.72
Tfh	PC6	MMF	0.064	0.18	0.73	0.97
Tfh	PC6	TAC	0.18	0.19	0.35	0.87
Tfh	PC7	InactivevsHC	0.19	0.21	0.39	0.88
Tfh	PC7	LDAvsInactive	-0.034	0.25	0.89	0.99
Tfh	PC7	MDAvsInactive	-0.22	0.27	0.43	0.9
Tfh	PC7	HDAvsInactive	-0.16	0.3	0.6	0.95
Tfh	PC7	constitutional	-0.18	0.31	0.57	0.94
Tfh	PC7	mucocutaneous	0.068	0.23	0.76	0.98
Tfh	PC7	musculoskeletal	-0.29	0.24	0.23	0.8
Tfh	PC7	renal	0.43	0.23	0.062	0.58
Tfh	PC7	extrarenal	0.14	0.32	0.67	0.96
Tfh	PC7	hematological	-0.38	0.3	0.21	0.79
Tfh	PC7	serological	0.00072	0.2	  1	  1
Tfh	PC7	HCQ	0.1	0.2	0.62	0.95
Tfh	PC7	MMF	-0.047	0.23	0.84	0.99
Tfh	PC7	TAC	0.29	0.23	0.22	0.8
Fr. I nTreg	PC1	InactivevsHC	  1	0.15	8.9e-10	5.9e-07
Fr. I nTreg	PC1	LDAvsInactive	0.027	0.28	0.92	  1
Fr. I nTreg	PC1	MDAvsInactive	0.15	0.29	0.6	0.95
Fr. I nTreg	PC1	HDAvsInactive	0.4	0.25	0.12	0.69
Fr. I nTreg	PC1	constitutional	-0.17	0.29	0.56	0.94
Fr. I nTreg	PC1	mucocutaneous	0.48	0.23	0.037	0.49
Fr. I nTreg	PC1	musculoskeletal	-0.095	0.24	0.69	0.96
Fr. I nTreg	PC1	renal	-0.19	0.22	0.39	0.88
Fr. I nTreg	PC1	extrarenal	-0.0038	0.31	0.99	  1
Fr. I nTreg	PC1	hematological	-0.1	0.28	0.71	0.97
Fr. I nTreg	PC1	serological	0.31	0.2	0.12	0.68
Fr. I nTreg	PC1	HCQ	0.17	0.21	0.41	0.89
Fr. I nTreg	PC1	MMF	-0.33	0.25	0.18	0.76
Fr. I nTreg	PC1	TAC	0.39	0.25	0.12	0.68
Fr. I nTreg	PC2	InactivevsHC	0.22	0.2	0.27	0.83
Fr. I nTreg	PC2	LDAvsInactive	0.3	0.31	0.32	0.85
Fr. I nTreg	PC2	MDAvsInactive	0.57	0.35	0.12	0.68
Fr. I nTreg	PC2	HDAvsInactive	1.2	0.24	1.7e-05	0.0038
Fr. I nTreg	PC2	constitutional	0.47	0.33	0.15	0.73
Fr. I nTreg	PC2	mucocutaneous	-0.11	0.25	0.66	0.96
Fr. I nTreg	PC2	musculoskeletal	0.47	0.27	0.085	0.62
Fr. I nTreg	PC2	renal	0.73	0.25	0.0041	0.19
Fr. I nTreg	PC2	extrarenal	0.33	0.35	0.35	0.87
Fr. I nTreg	PC2	hematological	-0.0074	0.32	0.98	  1
Fr. I nTreg	PC2	serological	-0.046	0.22	0.83	0.99
Fr. I nTreg	PC2	HCQ	0.31	0.23	0.18	0.76
Fr. I nTreg	PC2	MMF	0.12	0.27	0.65	0.95
Fr. I nTreg	PC2	TAC	0.59	0.27	0.031	0.46
Fr. I nTreg	PC3	InactivevsHC	0.36	0.13	0.008	0.28
Fr. I nTreg	PC3	LDAvsInactive	-0.029	0.29	0.92	  1
Fr. I nTreg	PC3	MDAvsInactive	0.7	0.29	0.02	0.41
Fr. I nTreg	PC3	HDAvsInactive	0.9	0.26	0.0011	0.09
Fr. I nTreg	PC3	constitutional	0.18	0.31	0.55	0.93
Fr. I nTreg	PC3	mucocutaneous	0.16	0.24	0.5	0.92
Fr. I nTreg	PC3	musculoskeletal	0.3	0.25	0.23	0.8
Fr. I nTreg	PC3	renal	0.52	0.23	0.028	0.44
Fr. I nTreg	PC3	extrarenal	0.22	0.32	0.49	0.92
Fr. I nTreg	PC3	hematological	0.053	0.29	0.86	0.99
Fr. I nTreg	PC3	serological	0.17	0.2	0.41	0.89
Fr. I nTreg	PC3	HCQ	-0.41	0.21	0.054	0.56
Fr. I nTreg	PC3	MMF	0.098	0.25	0.7	0.96
Fr. I nTreg	PC3	TAC	-0.29	0.25	0.26	0.82
Fr. I nTreg	PC4	InactivevsHC	0.33	0.22	0.14	0.72
Fr. I nTreg	PC4	LDAvsInactive	0.24	0.27	0.37	0.88
Fr. I nTreg	PC4	MDAvsInactive	-0.14	0.34	0.69	0.96
Fr. I nTreg	PC4	HDAvsInactive	-0.16	0.26	0.53	0.93
Fr. I nTreg	PC4	constitutional	0.067	0.32	0.83	0.99
Fr. I nTreg	PC4	mucocutaneous	0.33	0.24	0.18	0.77
Fr. I nTreg	PC4	musculoskeletal	-0.48	0.26	0.063	0.58
Fr. I nTreg	PC4	renal	0.032	0.24	0.89	0.99
Fr. I nTreg	PC4	extrarenal	-0.11	0.33	0.73	0.97
Fr. I nTreg	PC4	hematological	-0.88	0.3	0.0044	0.2
Fr. I nTreg	PC4	serological	-0.038	0.21	0.86	0.99
Fr. I nTreg	PC4	HCQ	-0.013	0.23	0.96	  1
Fr. I nTreg	PC4	MMF	0.4	0.27	0.13	0.71
Fr. I nTreg	PC4	TAC	-0.063	0.27	0.82	0.99
Fr. I nTreg	PC5	InactivevsHC	0.15	0.19	0.45	0.91
Fr. I nTreg	PC5	LDAvsInactive	0.12	0.27	0.67	0.96
Fr. I nTreg	PC5	MDAvsInactive	-0.39	0.36	0.29	0.83
Fr. I nTreg	PC5	HDAvsInactive	0.29	0.28	0.32	0.85
Fr. I nTreg	PC5	constitutional	  1	0.33	0.0033	0.17
Fr. I nTreg	PC5	mucocutaneous	-0.5	0.26	0.057	0.57
Fr. I nTreg	PC5	musculoskeletal	-0.24	0.27	0.38	0.88
Fr. I nTreg	PC5	renal	0.058	0.25	0.82	0.99
Fr. I nTreg	PC5	extrarenal	0.63	0.35	0.076	0.6
Fr. I nTreg	PC5	hematological	0.45	0.32	0.16	0.74
Fr. I nTreg	PC5	serological	-0.15	0.22	0.49	0.92
Fr. I nTreg	PC5	HCQ	0.02	0.24	0.93	  1
Fr. I nTreg	PC5	MMF	-0.056	0.28	0.84	0.99
Fr. I nTreg	PC5	TAC	-0.55	0.28	0.054	0.56
Fr. I nTreg	PC6	InactivevsHC	-0.26	0.18	0.16	0.74
Fr. I nTreg	PC6	LDAvsInactive	0.078	0.29	0.79	0.98
Fr. I nTreg	PC6	MDAvsInactive	0.39	0.33	0.24	0.82
Fr. I nTreg	PC6	HDAvsInactive	0.6	0.33	0.08	0.62
Fr. I nTreg	PC6	constitutional	0.4	0.32	0.22	0.8
Fr. I nTreg	PC6	mucocutaneous	0.29	0.25	0.25	0.82
Fr. I nTreg	PC6	musculoskeletal	0.14	0.26	0.58	0.94
Fr. I nTreg	PC6	renal	0.11	0.24	0.66	0.96
Fr. I nTreg	PC6	extrarenal	0.026	0.34	0.94	  1
Fr. I nTreg	PC6	hematological	0.14	0.31	0.65	0.95
Fr. I nTreg	PC6	serological	0.12	0.21	0.59	0.94
Fr. I nTreg	PC6	HCQ	-0.39	0.22	0.082	0.62
Fr. I nTreg	PC6	MMF	0.23	0.26	0.38	0.88
Fr. I nTreg	PC6	TAC	-1.1	0.26	7.6e-05	0.012
Fr. I nTreg	PC7	InactivevsHC	-0.016	0.19	0.93	  1
Fr. I nTreg	PC7	LDAvsInactive	0.4	0.25	0.11	0.66
Fr. I nTreg	PC7	MDAvsInactive	-0.077	0.43	0.86	0.99
Fr. I nTreg	PC7	HDAvsInactive	0.081	0.31	0.8	0.98
Fr. I nTreg	PC7	constitutional	-0.19	0.37	0.61	0.95
Fr. I nTreg	PC7	mucocutaneous	0.24	0.28	0.4	0.89
Fr. I nTreg	PC7	musculoskeletal	-0.048	0.3	0.87	0.99
Fr. I nTreg	PC7	renal	-0.45	0.28	0.11	0.66
Fr. I nTreg	PC7	extrarenal	-0.4	0.39	0.3	0.84
Fr. I nTreg	PC7	hematological	0.026	0.35	0.94	  1
Fr. I nTreg	PC7	serological	0.2	0.24	0.41	0.89
Fr. I nTreg	PC7	HCQ	0.22	0.26	0.4	0.89
Fr. I nTreg	PC7	MMF	-0.072	0.3	0.81	0.99
Fr. I nTreg	PC7	TAC	-0.079	0.31	0.8	0.98
Fr. II eTreg	PC1	InactivevsHC	0.77	0.18	3.2e-05	0.006
Fr. II eTreg	PC1	LDAvsInactive	0.21	0.26	0.42	0.89
Fr. II eTreg	PC1	MDAvsInactive	-0.15	0.27	0.57	0.94
Fr. II eTreg	PC1	HDAvsInactive	0.47	0.25	0.065	0.58
Fr. II eTreg	PC1	constitutional	0.0046	0.29	0.99	  1
Fr. II eTreg	PC1	mucocutaneous	0.23	0.22	0.29	0.83
Fr. II eTreg	PC1	musculoskeletal	-0.13	0.23	0.58	0.94
Fr. II eTreg	PC1	renal	-0.1	0.21	0.64	0.95
Fr. II eTreg	PC1	extrarenal	0.092	0.31	0.77	0.98
Fr. II eTreg	PC1	hematological	0.3	0.29	0.31	0.85
Fr. II eTreg	PC1	serological	0.34	0.19	0.083	0.62
Fr. II eTreg	PC1	HCQ	-0.41	0.19	0.031	0.46
Fr. II eTreg	PC1	MMF	-0.046	0.21	0.83	0.99
Fr. II eTreg	PC1	TAC	-0.42	0.22	0.057	0.57
Fr. II eTreg	PC2	InactivevsHC	-0.2	0.21	0.34	0.87
Fr. II eTreg	PC2	LDAvsInactive	-0.064	0.29	0.82	0.99
Fr. II eTreg	PC2	MDAvsInactive	0.4	0.27	0.15	0.73
Fr. II eTreg	PC2	HDAvsInactive	0.5	0.29	0.087	0.62
Fr. II eTreg	PC2	constitutional	0.18	0.32	0.57	0.94
Fr. II eTreg	PC2	mucocutaneous	0.029	0.23	0.9	0.99
Fr. II eTreg	PC2	musculoskeletal	0.28	0.25	0.27	0.83
Fr. II eTreg	PC2	renal	0.49	0.23	0.033	0.47
Fr. II eTreg	PC2	extrarenal	-0.11	0.33	0.73	0.97
Fr. II eTreg	PC2	hematological	0.35	0.31	0.27	0.83
Fr. II eTreg	PC2	serological	-0.17	0.21	0.42	0.9
Fr. II eTreg	PC2	HCQ	-0.36	0.2	0.072	0.6
Fr. II eTreg	PC2	MMF	-0.042	0.23	0.86	0.99
Fr. II eTreg	PC2	TAC	-0.12	0.24	0.6	0.94
Fr. II eTreg	PC3	InactivevsHC	0.19	0.18	0.29	0.83
Fr. II eTreg	PC3	LDAvsInactive	-0.33	0.29	0.25	0.82
Fr. II eTreg	PC3	MDAvsInactive	-0.14	0.27	0.61	0.95
Fr. II eTreg	PC3	HDAvsInactive	-0.089	0.26	0.73	0.97
Fr. II eTreg	PC3	constitutional	-0.64	0.34	0.063	0.58
Fr. II eTreg	PC3	mucocutaneous	-0.13	0.25	0.59	0.94
Fr. II eTreg	PC3	musculoskeletal	0.21	0.27	0.45	0.91
Fr. II eTreg	PC3	renal	-0.18	0.25	0.46	0.91
Fr. II eTreg	PC3	extrarenal	-0.0013	0.35	  1	  1
Fr. II eTreg	PC3	hematological	0.41	0.34	0.22	0.8
Fr. II eTreg	PC3	serological	0.022	0.22	0.92	  1
Fr. II eTreg	PC3	HCQ	0.15	0.22	0.5	0.92
Fr. II eTreg	PC3	MMF	-0.26	0.25	0.31	0.85
Fr. II eTreg	PC3	TAC	0.42	0.26	0.11	0.66
Fr. II eTreg	PC4	InactivevsHC	0.66	0.14	1.2e-05	0.0028
Fr. II eTreg	PC4	LDAvsInactive	0.18	0.25	0.47	0.91
Fr. II eTreg	PC4	MDAvsInactive	0.78	0.22	0.00088	0.078
Fr. II eTreg	PC4	HDAvsInactive	1.3	0.22	4.9e-07	0.00018
Fr. II eTreg	PC4	constitutional	0.47	0.26	0.077	0.61
Fr. II eTreg	PC4	mucocutaneous	0.31	0.19	0.12	0.68
Fr. II eTreg	PC4	musculoskeletal	0.27	0.21	0.2	0.79
Fr. II eTreg	PC4	renal	0.62	0.19	0.0014	0.1
Fr. II eTreg	PC4	extrarenal	0.41	0.27	0.14	0.72
Fr. II eTreg	PC4	hematological	-0.04	0.26	0.88	0.99
Fr. II eTreg	PC4	serological	0.17	0.17	0.34	0.86
Fr. II eTreg	PC4	HCQ	0.094	0.17	0.58	0.94
Fr. II eTreg	PC4	MMF	0.2	0.2	0.3	0.84
Fr. II eTreg	PC4	TAC	0.4	0.2	0.05	0.54
Fr. II eTreg	PC5	InactivevsHC	-0.081	0.21	0.7	0.96
Fr. II eTreg	PC5	LDAvsInactive	0.23	0.28	0.41	0.89
Fr. II eTreg	PC5	MDAvsInactive	0.43	0.33	0.2	0.78
Fr. II eTreg	PC5	HDAvsInactive	0.74	0.29	0.013	0.35
Fr. II eTreg	PC5	constitutional	-0.065	0.34	0.85	0.99
Fr. II eTreg	PC5	mucocutaneous	0.56	0.25	0.025	0.44
Fr. II eTreg	PC5	musculoskeletal	0.37	0.27	0.17	0.75
Fr. II eTreg	PC5	renal	0.43	0.24	0.077	0.61
Fr. II eTreg	PC5	extrarenal	-0.29	0.35	0.41	0.89
Fr. II eTreg	PC5	hematological	-0.22	0.33	0.51	0.92
Fr. II eTreg	PC5	serological	0.034	0.22	0.88	0.99
Fr. II eTreg	PC5	HCQ	0.19	0.21	0.37	0.88
Fr. II eTreg	PC5	MMF	-0.18	0.25	0.46	0.91
Fr. II eTreg	PC5	TAC	0.021	0.25	0.93	  1
Fr. II eTreg	PC6	InactivevsHC	0.51	0.19	0.01	0.31
Fr. II eTreg	PC6	LDAvsInactive	-0.42	0.31	0.18	0.77
Fr. II eTreg	PC6	MDAvsInactive	-0.47	0.33	0.16	0.74
Fr. II eTreg	PC6	HDAvsInactive	-0.26	0.34	0.46	0.91
Fr. II eTreg	PC6	constitutional	-0.27	0.36	0.45	0.91
Fr. II eTreg	PC6	mucocutaneous	-0.032	0.26	0.9	0.99
Fr. II eTreg	PC6	musculoskeletal	0.18	0.29	0.52	0.92
Fr. II eTreg	PC6	renal	0.33	0.26	0.2	0.79
Fr. II eTreg	PC6	extrarenal	-0.2	0.37	0.59	0.94
Fr. II eTreg	PC6	hematological	0.17	0.35	0.64	0.95
Fr. II eTreg	PC6	serological	-0.62	0.23	0.0089	0.29
Fr. II eTreg	PC6	HCQ	0.14	0.23	0.53	0.93
Fr. II eTreg	PC6	MMF	0.029	0.27	0.91	0.99
Fr. II eTreg	PC6	TAC	-0.3	0.27	0.27	0.83
Fr. II eTreg	PC7	InactivevsHC	0.024	0.19	0.9	0.99
Fr. II eTreg	PC7	LDAvsInactive	0.15	0.29	0.62	0.95
Fr. II eTreg	PC7	MDAvsInactive	0.38	0.28	0.18	0.76
Fr. II eTreg	PC7	HDAvsInactive	0.53	0.3	0.082	0.62
Fr. II eTreg	PC7	constitutional	0.2	0.35	0.57	0.94
Fr. II eTreg	PC7	mucocutaneous	0.0094	0.26	0.97	  1
Fr. II eTreg	PC7	musculoskeletal	0.48	0.28	0.092	0.64
Fr. II eTreg	PC7	renal	-0.29	0.25	0.26	0.82
Fr. II eTreg	PC7	extrarenal	0.15	0.37	0.67	0.96
Fr. II eTreg	PC7	hematological	0.13	0.35	0.71	0.97
Fr. II eTreg	PC7	serological	0.24	0.23	0.29	0.83
Fr. II eTreg	PC7	HCQ	0.56	0.22	0.014	0.36
Fr. II eTreg	PC7	MMF	-0.12	0.26	0.65	0.95
Fr. II eTreg	PC7	TAC	-0.051	0.26	0.85	0.99
Fr. III T	PC1	InactivevsHC	1.1	0.17	1.3e-09	8.1e-07
Fr. III T	PC1	LDAvsInactive	-0.15	0.24	0.54	0.93
Fr. III T	PC1	MDAvsInactive	-0.16	0.29	0.59	0.94
Fr. III T	PC1	HDAvsInactive	0.044	0.25	0.86	0.99
Fr. III T	PC1	constitutional	-0.46	0.26	0.082	0.62
Fr. III T	PC1	mucocutaneous	0.062	0.2	0.76	0.98
Fr. III T	PC1	musculoskeletal	0.26	0.21	0.23	0.8
Fr. III T	PC1	renal	0.0089	0.2	0.96	  1
Fr. III T	PC1	extrarenal	0.082	0.28	0.77	0.98
Fr. III T	PC1	hematological	0.23	0.25	0.37	0.88
Fr. III T	PC1	serological	-0.041	0.17	0.81	0.99
Fr. III T	PC1	HCQ	0.56	0.18	0.0023	0.14
Fr. III T	PC1	MMF	-0.23	0.22	0.3	0.84
Fr. III T	PC1	TAC	0.98	0.22	2.5e-05	0.0051
Fr. III T	PC2	InactivevsHC	0.68	0.2	0.00081	0.074
Fr. III T	PC2	LDAvsInactive	-0.026	0.27	0.92	  1
Fr. III T	PC2	MDAvsInactive	0.2	0.31	0.51	0.92
Fr. III T	PC2	HDAvsInactive	0.3	0.27	0.27	0.83
Fr. III T	PC2	constitutional	0.21	0.3	0.48	0.92
Fr. III T	PC2	mucocutaneous	0.2	0.23	0.37	0.88
Fr. III T	PC2	musculoskeletal	-0.029	0.24	0.91	0.99
Fr. III T	PC2	renal	-0.14	0.22	0.54	0.93
Fr. III T	PC2	extrarenal	-0.033	0.31	0.92	0.99
Fr. III T	PC2	hematological	0.2	0.28	0.49	0.92
Fr. III T	PC2	serological	0.36	0.2	0.07	0.59
Fr. III T	PC2	HCQ	-0.24	0.2	0.23	0.81
Fr. III T	PC2	MMF	-0.027	0.25	0.91	0.99
Fr. III T	PC2	TAC	-0.36	0.25	0.15	0.73
Fr. III T	PC3	InactivevsHC	0.18	0.21	0.38	0.88
Fr. III T	PC3	LDAvsInactive	0.065	0.27	0.81	0.99
Fr. III T	PC3	MDAvsInactive	0.7	0.24	0.0056	0.24
Fr. III T	PC3	HDAvsInactive	1.1	0.28	0.0002	0.026
Fr. III T	PC3	constitutional	0.48	0.29	0.097	0.65
Fr. III T	PC3	mucocutaneous	0.22	0.22	0.31	0.85
Fr. III T	PC3	musculoskeletal	0.33	0.23	0.16	0.74
Fr. III T	PC3	renal	0.5	0.21	0.02	0.41
Fr. III T	PC3	extrarenal	0.27	0.3	0.37	0.88
Fr. III T	PC3	hematological	0.26	0.27	0.35	0.87
Fr. III T	PC3	serological	0.13	0.19	0.5	0.92
Fr. III T	PC3	HCQ	-0.31	0.19	0.11	0.66
Fr. III T	PC3	MMF	-0.14	0.23	0.53	0.93
Fr. III T	PC3	TAC	-0.047	0.23	0.84	0.99
Fr. III T	PC4	InactivevsHC	0.24	0.22	0.28	0.83
Fr. III T	PC4	LDAvsInactive	0.4	0.27	0.14	0.72
Fr. III T	PC4	MDAvsInactive	0.15	0.31	0.62	0.95
Fr. III T	PC4	HDAvsInactive	0.66	0.29	0.026	0.44
Fr. III T	PC4	constitutional	0.52	0.31	0.093	0.64
Fr. III T	PC4	mucocutaneous	0.19	0.23	0.41	0.89
Fr. III T	PC4	musculoskeletal	-0.15	0.25	0.55	0.93
Fr. III T	PC4	renal	0.23	0.23	0.32	0.85
Fr. III T	PC4	extrarenal	0.11	0.32	0.73	0.97
Fr. III T	PC4	hematological	-0.29	0.29	0.32	0.85
Fr. III T	PC4	serological	-0.05	0.2	0.8	0.99
Fr. III T	PC4	HCQ	0.086	0.21	0.68	0.96
Fr. III T	PC4	MMF	0.13	0.25	0.6	0.94
Fr. III T	PC4	TAC	-0.37	0.26	0.15	0.73
Fr. III T	PC5	InactivevsHC	-0.11	0.2	0.58	0.94
Fr. III T	PC5	LDAvsInactive	0.064	0.29	0.83	0.99
Fr. III T	PC5	MDAvsInactive	0.75	0.32	0.024	0.43
Fr. III T	PC5	HDAvsInactive	0.93	0.3	0.0035	0.18
Fr. III T	PC5	constitutional	-0.2	0.34	0.56	0.94
