Signature	Cell type	Annotation	Pvalue	FDR
Disease-activity	Fr. II eTreg	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.036	0.32
Disease-activity	Fr. II eTreg	HALLMARK_COMPLEMENT	0.043	0.32
Disease-activity	Fr. II eTreg	HALLMARK_APOPTOSIS	0.046	0.32
Disease-activity	Fr. III T	HALLMARK_INTERFERON_ALPHA_RESPONSE	5.7e-51	2.6e-49
Disease-activity	Fr. III T	HALLMARK_INTERFERON_GAMMA_RESPONSE	4.2e-34	9.6e-33
Disease-activity	Fr. III T	HALLMARK_MYC_TARGETS_V1	0.0051	0.078
Disease-activity	Naive CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.9e-38	2.4e-36
Disease-activity	Naive CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	8.7e-25	2.1e-23
Disease-activity	Naive CD8	HALLMARK_ALLOGRAFT_REJECTION	0.0064	0.1
Disease-activity	Naive CD8	HALLMARK_INFLAMMATORY_RESPONSE	0.012	0.14
Disease-activity	Naive CD8	HALLMARK_IL2_STAT5_SIGNALING	0.018	0.14
Disease-activity	Naive CD8	HALLMARK_P53_PATHWAY	0.018	0.14
Disease-activity	Naive CD8	HALLMARK_APOPTOSIS	0.026	0.18
Disease-activity	CM CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.8e-34	2.4e-32
Disease-activity	CM CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	6.9e-21	1.7e-19
Disease-activity	CM CD8	HALLMARK_E2F_TARGETS	1.6e-08	2.7e-07
Disease-activity	CM CD8	HALLMARK_G2M_CHECKPOINT	3.8e-06	4.7e-05
Disease-activity	CM CD8	HALLMARK_MYC_TARGETS_V1	7.8e-06	7.7e-05
Disease-activity	CM CD8	HALLMARK_MTORC1_SIGNALING	0.0013	0.011
Disease-activity	CM CD8	HALLMARK_ANDROGEN_RESPONSE	0.041	0.29
Disease-activity	EM CD8	HALLMARK_E2F_TARGETS	5.8e-27	2.9e-25
Disease-activity	EM CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.5e-20	1.1e-18
Disease-activity	EM CD8	HALLMARK_MYC_TARGETS_V1	2.7e-16	4.5e-15
Disease-activity	EM CD8	HALLMARK_G2M_CHECKPOINT	3.3e-13	4.1e-12
Disease-activity	EM CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	6.4e-12	6.4e-11
Disease-activity	EM CD8	HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.5e-10	2.9e-09
Disease-activity	EM CD8	HALLMARK_MTORC1_SIGNALING	2.9e-06	2.1e-05
Disease-activity	EM CD8	HALLMARK_SPERMATOGENESIS	0.033	0.2
Disease-activity	TEMRA CD8	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.3e-28	6.6e-27
Disease-activity	TEMRA CD8	HALLMARK_E2F_TARGETS	4.4e-22	1.1e-20
Disease-activity	TEMRA CD8	HALLMARK_G2M_CHECKPOINT	1.7e-20	2.8e-19
Disease-activity	TEMRA CD8	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.8e-16	2.2e-15
Disease-activity	TEMRA CD8	HALLMARK_MYC_TARGETS_V1	0.0012	0.012
Disease-activity	TEMRA CD8	HALLMARK_MTORC1_SIGNALING	0.025	0.2
Disease-activity	TEMRA CD8	HALLMARK_MITOTIC_SPINDLE	0.041	0.28
Disease-activity	NK	HALLMARK_INTERFERON_ALPHA_RESPONSE	8.2e-26	4.1e-24
Disease-activity	NK	HALLMARK_E2F_TARGETS	5.9e-23	1.5e-21
Disease-activity	NK	HALLMARK_G2M_CHECKPOINT	1.8e-21	3.1e-20
Disease-activity	NK	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.6e-18	3.3e-17
Disease-activity	NK	HALLMARK_MYC_TARGETS_V1	0.0011	0.011
Disease-activity	NK	HALLMARK_P53_PATHWAY	0.0035	0.029
Disease-activity	NK	HALLMARK_UV_RESPONSE_UP	0.036	0.26
Disease-activity	NK	HALLMARK_MITOTIC_SPINDLE	0.045	0.28
Disease-activity	Naive B	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.2e-36	2.1e-34
Disease-activity	Naive B	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.7e-24	9.2e-23
Disease-activity	Naive B	HALLMARK_MYC_TARGETS_V1	0.012	0.2
Disease-activity	USM B	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.8e-41	1.4e-39
Disease-activity	USM B	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.9e-26	7.1e-25
Disease-activity	USM B	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0084	0.14
Disease-activity	SM B	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.9e-39	2.3e-37
Disease-activity	SM B	HALLMARK_INTERFERON_GAMMA_RESPONSE	6.1e-27	1.5e-25
Disease-activity	SM B	HALLMARK_MYC_TARGETS_V1	0.04	0.58
Disease-activity	DN B	HALLMARK_INTERFERON_ALPHA_RESPONSE	3e-49	1.5e-47
Disease-activity	DN B	HALLMARK_INTERFERON_GAMMA_RESPONSE	4.4e-36	1.1e-34
Disease-activity	DN B	HALLMARK_APOPTOSIS	0.033	0.53
Disease-activity	Plasmablast	HALLMARK_E2F_TARGETS	4.2e-32	2.1e-30
Disease-activity	Plasmablast	HALLMARK_G2M_CHECKPOINT	1.1e-22	2.7e-21
Disease-activity	Plasmablast	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.1e-17	1.8e-16
Disease-activity	Plasmablast	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.7e-11	4.6e-10
Disease-activity	Plasmablast	HALLMARK_MYC_TARGETS_V1	8.5e-07	8.5e-06
Disease-activity	Plasmablast	HALLMARK_MITOTIC_SPINDLE	0.0002	0.0017
Disease-activity	Plasmablast	HALLMARK_DNA_REPAIR	0.019	0.12
Disease-activity	Plasmablast	HALLMARK_MTORC1_SIGNALING	0.019	0.12
Disease-activity	Plasmablast	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.028	0.15
Disease-activity	CL Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.7e-26	8.3e-25
Disease-activity	CL Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.3e-26	8.3e-25
Disease-activity	CL Mono	HALLMARK_MYC_TARGETS_V1	3.8e-07	6.4e-06
Disease-activity	CL Mono	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0032	0.036
Disease-activity	CL Mono	HALLMARK_MYC_TARGETS_V2	0.0036	0.036
Disease-activity	CL Mono	HALLMARK_INFLAMMATORY_RESPONSE	0.02	0.17
Disease-activity	CL Mono	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.034	0.23
Disease-activity	CL Mono	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.037	0.23
Disease-activity	CL Mono	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.041	0.23
Disease-activity	CD16p Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.3e-25	1.1e-23
Disease-activity	CD16p Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	9.5e-23	2.4e-21
Disease-activity	CD16p Mono	HALLMARK_MYC_TARGETS_V1	0.00019	0.0032
Disease-activity	CD16p Mono	HALLMARK_INFLAMMATORY_RESPONSE	0.00076	0.0095
Disease-activity	CD16p Mono	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0034	0.034
Disease-activity	CD16p Mono	HALLMARK_P53_PATHWAY	0.0089	0.074
Disease-activity	CD16p Mono	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.014	0.09
Disease-activity	CD16p Mono	HALLMARK_COMPLEMENT	0.014	0.09
Disease-activity	CD16p Mono	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.038	0.21
Disease-activity	Int Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	5.1e-33	2.5e-31
Disease-activity	Int Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	4e-31	9.9e-30
Disease-activity	Int Mono	HALLMARK_MYC_TARGETS_V1	7.9e-06	0.00013
Disease-activity	Int Mono	HALLMARK_P53_PATHWAY	0.0054	0.068
Disease-activity	Int Mono	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.022	0.22
Disease-activity	Int Mono	HALLMARK_INFLAMMATORY_RESPONSE	0.027	0.23
Disease-activity	Int Mono	HALLMARK_COMPLEMENT	0.041	0.29
Disease-activity	NC Mono	HALLMARK_INTERFERON_ALPHA_RESPONSE	8.4e-25	4.2e-23
Disease-activity	NC Mono	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.9e-18	4.8e-17
Disease-activity	NC Mono	HALLMARK_MYC_TARGETS_V1	0.00019	0.0031
Disease-activity	NC Mono	HALLMARK_P53_PATHWAY	0.00031	0.0039
Disease-activity	mDC	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.1e-39	5.2e-38
Disease-activity	mDC	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.2e-36	3e-35
Disease-activity	mDC	HALLMARK_COMPLEMENT	0.00069	0.011
Disease-activity	mDC	HALLMARK_ALLOGRAFT_REJECTION	0.015	0.18
Disease-activity	mDC	HALLMARK_INFLAMMATORY_RESPONSE	0.024	0.24
Disease-activity	pDC	HALLMARK_INTERFERON_ALPHA_RESPONSE	3.3e-30	1.7e-28
Disease-activity	pDC	HALLMARK_INTERFERON_GAMMA_RESPONSE	7.8e-28	2e-26
Disease-activity	pDC	HALLMARK_MTORC1_SIGNALING	0.022	0.37
Disease-activity	Neu	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.3e-17	2.2e-15
Disease-activity	Neu	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.7e-12	6.6e-11
Disease-activity	Neu	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0014	0.024
Disease-activity	Neu	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.021	0.24
Disease-activity	Neu	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.024	0.24
Disease-activity	Neu	HALLMARK_IL2_STAT5_SIGNALING	0.05	0.37
Disease-activity	LDG	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.8e-25	9e-24
Disease-activity	LDG	HALLMARK_INTERFERON_GAMMA_RESPONSE	5.2e-14	1.3e-12
Disease-activity	LDG	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.00033	0.0055
Disease-activity	LDG	HALLMARK_P53_PATHWAY	0.04	0.5
